Order ID,Order Date,Year,Month,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Profit Margin,Payment Mode
10001,19-10-2024,2024,Oct,Kashvi Varty,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,5,68958.6,10525.09,15.30%,Debit Card
10002,30-08-2025,2025,Aug,Advik Desai,North,Delhi,Groceries,Rice,Rice Nemo,1,42165,20,33732,6299.66,18.70%,Debit Card
10003,04-11-2023,2023,Nov,Rhea Kalla,East,Patna,Kitchen,Juicer,Juicer Odio,4,64876,20,207603.2,19850.27,9.60%,Credit Card
10004,23-05-2025,2025,May,Anika Sen,East,Kolkata,Groceries,Oil,Oil Doloribus,5,37320,15,158610,36311.02,22.90%,UPI
10005,19-01-2025,2025,Jan,Akarsh Kaul,West,Pune,Clothing,Kids Wear,Kids Wear Quo,1,50037,10,45033.3,9050.04,20.10%,Debit Card
10006,06-04-2025,2025,Apr,Vardaniya Jayaraman,West,Pune,Furniture,Chair,Chair Assumenda,5,40287,15,171219.75,23722.84,13.90%,Credit Card
10007,13-10-2023,2023,Oct,Drishya Khare,West,Mumbai,Clothing,Accessories,Accessories Minima,2,3636,5,6908.4,680.26,9.80%,Debit Card
10008,17-08-2025,2025,Aug,Misha Dua,North,Lucknow,Books,Biography,Biography Vel,1,15885,10,14296.5,1289.03,9.00%,Debit Card
10009,07-03-2025,2025,Mar,Arhaan Vala,North,Jaipur,Groceries,Spices,Spices Expedita,1,40834,20,32667.2,3700.89,11.30%,Credit Card
10010,02-12-2024,2024,Dec,Lavanya Hayer,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,2,16686,15,28366.2,5703.09,20.10%,UPI
10011,24-08-2025,2025,Aug,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,2,10761,20,17217.6,4139.82,24.00%,Credit Card
10012,21-05-2024,2024,May,Nishith Kumar,South,Hyderabad,Beauty,Perfume,Perfume Itaque,3,27066,10,73078.2,16216.55,22.20%,Net Banking
10013,05-12-2024,2024,Dec,Anika Khanna,North,Chandigarh,Home Decor,Vase,Vase Ratione,1,53951,5,51253.45,6826.05,13.30%,Credit Card
10014,03-12-2023,2023,Dec,Amani Acharya,East,Patna,Clothing,Women's Wear,Women's Wear Optio,5,23843,0,119215,21029.48,17.60%,UPI
10015,25-07-2025,2025,Jul,Anay Grewal,North,Jaipur,Kitchen,Juicer,Juicer Debitis,2,15444,5,29343.6,5535.44,18.90%,COD
10016,13-10-2023,2023,Oct,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop,Laptop Numquam,5,51645,10,232402.5,35657.72,15.30%,Debit Card
10017,24-05-2024,2024,May,Ritvik Ramanathan,South,Hyderabad,Electronics,Smartwatch,Smartwatch Ad,3,52691,15,134362.05,26225.16,19.50%,UPI
10018,07-09-2025,2025,Sep,Darshit Sharma,South,Chennai,Groceries,Oil,Oil Odio,4,3775,10,13590,1234.71,9.10%,Net Banking
10019,15-06-2024,2024,Jun,Sara Chanda,East,Patna,Sports,Dumbbells,Dumbbells Soluta,3,16579,20,39789.6,4240.62,10.70%,Credit Card
10020,11-01-2024,2024,Jan,Gatik Ravi,West,Pune,Books,Textbook,Textbook Inventore,5,36393,5,172866.75,39437.91,22.80%,Debit Card
10021,15-10-2023,2023,Oct,Jivin Sunder,West,Ahmedabad,Kitchen,Refrigerator,Refrigerator Commodi,1,6574,20,5259.2,580.75,11.00%,UPI
10022,16-03-2024,2024,Mar,Kashvi Ratti,North,Lucknow,Groceries,Wheat,Wheat Natus,5,26762,15,113738.5,27267.31,24.00%,Credit Card
10023,02-11-2023,2023,Nov,Vivaan Goyal,West,Surat,Books,Comics,Comics Aperiam,1,47699,20,38159.2,8535.56,22.40%,UPI
10024,10-07-2025,2025,Jul,Nayantara Bhagat,East,Ranchi,Beauty,Face Cream,Face Cream Repellat,1,28257,10,25431.3,3959.79,15.60%,Credit Card
10025,21-06-2025,2025,Jun,Lakshay Ramakrishnan,North,Chandigarh,Electronics,Headphones,Headphones Itaque,5,24056,20,96224,20551.56,21.40%,COD
10026,13-01-2024,2024,Jan,Dhanush Vaidya,South,Chennai,Groceries,Rice,Rice Impedit,2,65756,5,124936.4,19544.76,15.60%,UPI
10027,22-04-2025,2025,Apr,Kimaya Rege,North,Lucknow,Beauty,Foundation,Foundation Illo,1,8276,0,8276,537.47,6.50%,Net Banking
10028,12-12-2024,2024,Dec,Anika Wable,East,Bhubaneswar,Furniture,Table,Table Error,3,731,0,2193,214.1,9.80%,UPI
10029,27-08-2025,2025,Aug,Kavya Bhatnagar,North,Delhi,Toys,RC Car,RC Car Amet,2,67085,20,107336,22034.77,20.50%,Net Banking
10030,22-04-2024,2024,Apr,Adira Seshadri,North,Chandigarh,Groceries,Sugar,Sugar Excepturi,5,79453,15,337675.25,80309.87,23.80%,Debit Card
10031,07-01-2025,2025,Jan,Zaina Sidhu,West,Goa,Groceries,Wheat,Wheat Consequuntur,2,25545,10,45981,9818.01,21.40%,Credit Card
